timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1650892675035,3137,Token/Extractor,200,OK,parallel bzm - Parallel Controller - Password Authentication,text,true,,1753,345,1,15,https://pdis-identity-server-lime.k8s.preqin.com/connect/token,3136,0,2688
1650892675204,4219,Token/Extractor,200,OK,parallel bzm - Parallel Controller - Password Authentication,text,true,,1753,345,1,14,https://pdis-identity-server-lime.k8s.preqin.com/connect/token,4219,0,2720
1650892675035,4389,Token/Extractor,200,OK,parallel bzm - Parallel Controller - Password Authentication,text,true,,1753,345,1,14,https://pdis-identity-server-lime.k8s.preqin.com/connect/token,4389,0,2889
1650892675269,4157,Token/Extractor,200,OK,parallel bzm - Parallel Controller - Password Authentication,text,true,,1753,345,1,14,https://pdis-identity-server-lime.k8s.preqin.com/connect/token,4157,0,2655
1650892675864,3562,Token/Extractor,200,OK,parallel bzm - Parallel Controller - Password Authentication,text,true,,1753,345,1,14,https://pdis-identity-server-lime.k8s.preqin.com/connect/token,3561,0,2060
1650892675467,3960,Token/Extractor,200,OK,parallel bzm - Parallel Controller - Password Authentication,text,true,,1753,345,1,14,https://pdis-identity-server-lime.k8s.preqin.com/connect/token,3959,0,2458
1650892675799,3832,Token/Extractor,200,OK,parallel bzm - Parallel Controller - Password Authentication,text,true,,1753,345,1,9,https://pdis-identity-server-lime.k8s.preqin.com/connect/token,3832,0,2126
1650892675601,4033,Token/Extractor,200,OK,parallel bzm - Parallel Controller - Password Authentication,text,true,,1753,345,1,9,https://pdis-identity-server-lime.k8s.preqin.com/connect/token,4032,0,2323
1650892675667,3967,Token/Extractor,200,OK,parallel bzm - Parallel Controller - Password Authentication,text,true,,1753,345,1,9,https://pdis-identity-server-lime.k8s.preqin.com/connect/token,3967,0,2257
1650892675071,4774,Token/Extractor,200,OK,parallel bzm - Parallel Controller - Password Authentication,text,true,,1753,345,1,6,https://pdis-identity-server-lime.k8s.preqin.com/connect/token,4773,0,2854
1650892675335,4510,Token/Extractor,200,OK,parallel bzm - Parallel Controller - Password Authentication,text,true,,1753,345,1,6,https://pdis-identity-server-lime.k8s.preqin.com/connect/token,4510,0,2589
1650892675401,4445,Token/Extractor,200,OK,parallel bzm - Parallel Controller - Password Authentication,text,true,,1753,345,1,6,https://pdis-identity-server-lime.k8s.preqin.com/connect/token,4444,0,2555
1650892675138,4708,Token/Extractor,200,OK,parallel bzm - Parallel Controller - Password Authentication,text,true,,1753,345,1,6,https://pdis-identity-server-lime.k8s.preqin.com/connect/token,4708,0,2786
1650892675538,4574,Token/Extractor,200,OK,parallel bzm - Parallel Controller - Password Authentication,text,true,,1753,345,1,2,https://pdis-identity-server-lime.k8s.preqin.com/connect/token,4574,0,2387
1650892675736,4376,Token/Extractor,200,OK,parallel bzm - Parallel Controller - Password Authentication,text,true,,1753,345,1,2,https://pdis-identity-server-lime.k8s.preqin.com/connect/token,4376,0,2222
